SquareFeet,Bedrooms,Bathrooms,YearBuilt,Price,Neighborhood_Suburb,Neighborhood_Urban,Neighborhood_Rural,Age,SquareFeet_Bedrooms,Log_Price
1064,4,2,1986,237384.3466275038,True,False,False,38,4256,12.377440034852944
2880,5,2,1955,312245.8679787154,False,False,True,69,14400,12.651549397445013
2862,3,3,1961,219408.6249604324,False,True,False,63,8586,12.29869569532517
1520,2,1,2003,201334.94160447217,False,False,True,21,3040,12.212730143154028
2367,3,2,1995,221413.5776081872,True,False,False,29,7101,12.307792139944535
2152,3,1,1982,306839.62194227794,False,False,True,42,6456,12.63408374499817
1647,2,3,1967,126756.3572316613,False,True,False,57,3294,11.750029964989078
2495,5,1,1987,328702.8347369156,False,True,False,37,12475,12.702912425957596
2086,2,1,2008,141074.02839361285,True,False,False,16,4172,11.857047144103404
2162,2,3,1956,220712.46134879728,False,False,True,68,4324,12.304620584262427
2522,4,2,1964,319176.8398973249,False,True,False,60,10088,12.67350371826728
1592,3,2,1950,245299.2098929523,True,False,False,74,4776,12.410238085904398
1391,5,1,1995,51154.13113008726,False,False,True,29,6955,10.84261808169725
2698,3,3,1981,314018.0283390546,False,True,False,43,8094,12.657208862860204
1418,5,3,1998,222904.25800629333,True,False,False,26,7090,12.314502108177363
1288,2,2,1959,115697.77821526628,True,False,False,65,2576,11.658745353188815
1378,4,3,1966,140714.77037514705,True,False,False,58,5512,11.854497321932623
2796,2,3,1969,178353.14814536367,True,False,False,55,5592,12.091526448971084
2513,3,1,2000,280022.0311214733,True,False,False,24,7539,12.542627132773973
1230,4,1,1971,136418.4807787985,False,False,True,53,4920,11.82348983515249
2017,4,2,1969,195803.9703359068,False,True,False,55,8068,12.184874393515843
1040,3,2,2014,98933.439065306,False,False,True,10,3120,11.502212678080907
2051,5,1,1953,185052.5631740863,True,False,False,71,10255,12.128400592825283
1134,4,3,2003,160764.43940877952,False,True,False,21,4536,11.987701683576566
1200,5,3,2014,156394.27348181067,True,False,False,10,6000,11.960141885932158
2863,5,1,2000,333464.1490294491,True,False,False,24,14315,12.717293638215919
1779,5,1,1960,211994.3281859909,False,True,False,64,8895,12.264319516552801
1929,4,1,1976,252779.69087222763,False,False,True,48,7716,12.440277557294255
2056,2,1,1975,288750.4043072761,False,True,False,49,4112,12.573321404208135
2071,4,3,1966,185482.06063162317,False,False,True,58,8284,12.130718839510203
1502,2,3,1991,119671.3689479028,True,False,False,33,3004,11.692513029042248
1406,4,2,1997,148891.4193350198,True,False,False,27,5624,11.910979306261376
2597,2,1,1982,235810.22355681533,False,False,True,42,5194,12.370786863733905
2751,2,2,2010,357765.11724448414,True,False,False,14,5502,12.78763474810057
1804,4,3,1978,216771.35995628755,False,False,True,46,7216,12.28660304944343
1098,5,2,2012,102580.49836622812,False,False,True,12,5490,11.53841286764325
1683,5,3,1986,208774.14233121456,False,True,False,38,8415,12.24901307776573
2895,2,3,2005,302454.6401474587,True,False,False,19,5790,12.619689901559097
1725,3,2,1965,208558.78172335384,False,True,False,59,5175,12.247981002017623
2570,3,2,2005,276434.5399454463,False,True,False,19,7710,12.529732944177935
1960,4,1,1991,220786.7119550845,True,False,False,33,7840,12.30495693945909
2762,4,3,1973,354268.47524739604,False,True,False,51,11048,12.777813132040096
1612,4,1,2018,142420.97226095255,True,False,False,6,6448,11.866549565642396
2966,3,1,1980,299146.59537507093,True,False,False,44,8898,12.608692360594565
2485,5,3,1960,321647.4526525699,False,True,False,64,12425,12.6812144661718
1642,4,2,1951,216976.90806023663,True,False,False,73,6568,12.287550821165972
2792,4,1,2020,243179.70337319985,True,False,False,4,11168,12.401560081243627
2028,5,1,1984,184210.77355558556,True,False,False,40,10140,12.123841318000602
2241,2,3,2011,175779.56815188617,True,False,False,13,4482,12.07699172428935
1502,4,2,2003,162271.08640489963,False,True,False,21,6008,11.99702975106416
1766,3,2,2018,240727.03972085557,False,False,True,6,5298,12.39142310938718
1397,3,1,2000,186900.94639311853,False,True,False,24,4191,12.13833940747781
1870,4,3,1958,208692.1497994106,False,False,True,66,7480,12.248620269332593
1794,3,1,1963,114333.69387419586,False,False,True,61,5382,11.646885337183473
1392,5,2,2005,225281.32417764855,False,False,True,19,6960,12.3251096687383
1206,2,1,1983,110852.45257182162,True,False,False,41,2412,11.615964360899715
2038,2,3,1950,206119.18171087175,False,False,True,74,4076,12.236214684019842
2881,4,1,1987,292218.3734233528,True,False,False,37,11524,12.58526007802883
2577,4,2,1966,209166.2973385366,True,False,False,58,10308,12.250889676479739
1891,2,3,1965,283220.10867648444,True,False,False,59,3782,12.553983174311032
2484,2,3,1997,354538.82144245284,False,True,False,27,4968,12.77857594993605
2714,4,3,1999,290954.49181524914,False,False,True,25,10856,12.580925585367234
2598,3,3,2020,207377.55545532453,False,True,False,4,7794,12.242301172398571
1863,4,3,1990,267934.0925699399,True,False,False,34,7452,12.498500038256589
1742,5,1,1993,235034.89983819608,False,True,False,31,8710,12.36749354672779
2264,4,3,1964,246611.88309182983,True,False,False,60,9056,12.415575111218127
1563,4,2,2010,314867.65157339314,False,True,False,14,6252,12.659910851715711
2020,4,3,1999,278092.75713699666,True,False,False,25,8080,12.535713591703267
1095,4,2,2001,88443.38397499491,True,False,False,23,4380,11.390129203790261
2923,4,2,2001,235396.4544878884,False,True,False,23,11692,12.369030660189475
2757,4,2,1985,280503.8129283642,True,False,False,39,11028,12.544346162187574
1484,3,2,1982,273072.3372618648,False,False,True,42,4452,12.517495672750114
2430,4,2,1994,252666.84831969367,False,True,False,30,9720,12.439831052672483
1230,2,1,1951,133914.40680878342,False,True,False,73,2460,11.804963587112288
1748,4,2,1950,142717.8302268369,True,False,False,74,6992,11.868631751499676
2678,3,2,2019,266197.0443802551,False,True,False,5,8034,12.491995838485867
2194,5,2,1996,245433.69445927496,False,False,True,28,10970,12.410786180480498
1540,2,1,2013,177796.40298151918,False,True,False,11,3080,12.088399995552113
2059,4,3,1967,226582.27427106167,False,False,True,57,8236,12.330867813161895
1524,4,2,2003,170745.4653213651,False,True,False,21,6096,12.047935076319005
2183,2,1,1984,194059.37069774355,False,False,True,40,4366,12.175924578799787
2862,4,1,2008,347187.40927735553,False,True,False,16,11448,12.757622877793338
2722,3,1,1985,345978.9788809702,False,False,True,39,8166,12.75413618785978
2266,4,3,1975,323981.5079872238,True,False,False,49,9064,12.688444805623325
2109,5,1,1994,185909.90163690777,False,True,False,30,10545,12.133022814469465
2819,3,2,2018,231642.41525201904,False,True,False,6,8457,12.352954465023211
1577,4,2,1979,181472.0115124785,False,False,True,45,6308,12.108862224729616
1681,5,2,1982,247683.3818141536,False,True,False,42,8405,12.41991056066012
1556,2,3,1972,174119.77971258396,False,False,True,52,3112,12.067504473674724
2597,3,1,1970,249931.38186463085,True,False,False,54,7791,12.428945687718612
2976,4,2,2012,352084.04725339817,False,False,True,12,11904,12.771628036912208
2012,4,2,2019,356256.91027704417,False,True,False,5,8048,12.783410214604926
1645,2,2,2017,115738.60239613194,True,False,False,7,3290,11.659098139802524
1795,2,3,1985,265399.2764300769,False,False,True,39,3590,12.488994442439902
2051,3,2,1986,205543.4524987724,False,False,True,38,6153,12.233417603388595
2643,3,1,1950,248155.87168453963,True,False,False,74,7929,12.421816372288596
2579,3,1,1975,318796.39679075696,False,True,False,49,7737,12.672311060214785
2363,4,3,1991,254479.2559878204,False,True,False,33,9452,12.446978532347623
2821,4,3,1989,248782.21694158544,False,True,False,35,11284,12.424337181549335
2981,3,3,2002,320922.1761831169,True,False,False,22,8943,12.678957046936642
2354,4,1,2011,265274.0039736152,False,False,True,13,9416,12.48852231772102
2663,2,3,1993,283301.9362070697,True,False,False,31,5326,12.554272050068004
2529,5,3,1985,291195.67134809634,False,False,True,39,12645,12.581754164429228
2371,4,1,1953,240277.00975870187,True,False,False,71,9484,12.389551905921229
2496,3,2,1970,316708.5953854667,False,False,True,54,7488,12.665740530095752
2254,4,3,1966,267724.6993464473,False,False,True,58,9016,12.497718225447743
1189,2,2,1965,52033.75929268488,True,False,False,59,2378,10.859667222188
2248,3,2,1990,157260.98352993536,True,False,False,34,6744,11.965668378526724
2408,5,2,2004,349887.387165537,True,False,False,20,12040,12.7653694887954
2400,3,2,2006,302581.5244158059,False,False,True,18,7200,12.620109327233836
2306,3,3,2015,267740.4346651604,True,False,False,9,6918,12.497776997752217
2981,3,3,1987,296942.7544003423,False,False,True,37,8943,12.601298020726919
1632,4,3,2005,211665.6221785599,False,False,True,19,6528,12.262767779026666
1627,5,1,1986,240462.67775685625,True,False,False,38,8135,12.39032432908405
1972,2,1,1999,221900.77310879892,False,True,False,25,3944,12.309990099464692
2768,4,2,2004,337510.5084427254,False,True,False,20,11072,12.729354887802918
2282,5,1,1950,351438.5468115283,False,False,True,74,11410,12.769792989130073
2382,5,2,2014,207718.7411877128,False,False,True,10,11910,12.243945051990373
1709,4,2,2014,187379.39012426996,False,True,False,10,6836,12.140896001498263
2479,3,3,1993,325104.8263530242,False,False,True,31,7437,12.691906027857103
2434,5,3,1961,234064.51365009736,False,True,False,63,12170,12.363356328018414
1648,2,1,2002,168976.49535597963,False,False,True,22,3296,12.037520821464069
1317,4,3,2010,72491.39025921248,False,False,True,14,5268,11.19123687339198
2700,5,1,1962,397825.33643637935,True,False,False,62,13500,12.893770848430197
2248,2,3,1991,224680.0524200836,False,True,False,33,4496,12.322437130719802
2842,2,3,1995,297609.7185248232,False,False,True,29,5684,12.603541597840959
2257,2,1,1991,211357.56307458412,False,True,False,33,4514,12.261311321259273
1683,2,2,1965,191156.38414084716,True,False,False,59,3366,12.160852368463956
1663,4,1,1993,198444.2855472129,False,True,False,31,6652,12.198268701553175
2998,2,3,2019,227602.84522047613,False,False,True,5,5996,12.33536187573341
2850,4,2,1965,227374.5843014784,False,True,False,59,11400,12.33435848558723
2397,2,3,1971,311492.246607957,True,False,False,53,4794,12.649132936743348
2695,2,3,1984,341035.6518169741,False,True,False,40,5390,12.73974523382397
2631,4,3,1998,329215.4127322002,False,True,False,26,10524,12.704470602958423
2495,3,2,2020,189722.8949577994,False,True,False,4,7485,12.153325109813457
2256,5,3,2013,315304.2483174342,False,True,False,11,11280,12.661296490866976
2715,5,1,1980,229019.4794959325,False,False,True,44,13575,12.341566708650985
2136,4,1,1950,218041.2170573715,False,True,False,74,8544,12.292443979248754
2853,2,1,1974,256367.864328076,True,False,False,50,5706,12.454372562677086
2520,4,2,1969,427589.0870411169,False,True,False,55,10080,12.965920275079263
1441,2,1,1957,161116.81865195103,True,False,False,67,2882,11.989891169206018
1563,4,3,2013,182494.88596722667,True,False,False,11,6252,12.114482909105261
2291,5,2,1965,276165.905109651,True,False,False,59,11455,12.52876069058275
2533,4,3,2004,314516.6129790323,True,False,False,20,10132,12.658795356667497
2830,5,3,1975,272012.265169515,False,False,True,49,14150,12.513606113094536
2409,5,3,2014,342249.54232187086,False,True,False,10,12045,12.743298327727587
2410,5,1,1977,258023.51102204097,False,True,False,47,12050,12.460809863352564
2136,4,1,1995,115459.88197304336,False,False,True,29,8544,11.656687067361458
2636,3,2,2003,240419.9739043436,False,True,False,21,7908,12.390146723695825
2648,4,2,2003,388951.7892392383,False,False,True,21,10592,12.871213250811774
1951,4,1,2021,250119.2128528494,True,False,False,3,7804,12.429696932683788
2104,3,1,1998,210586.97653456448,False,True,False,26,6312,12.257658785573431
1698,3,3,1995,234243.624414166,True,False,False,29,5094,12.364121251765495
1112,5,1,1950,69293.96649206044,False,True,False,74,5560,11.146127548947845
1001,2,3,1993,163837.68243703258,False,True,False,31,2002,12.006637579034786
1641,2,1,1953,252127.9862511156,False,True,False,71,3282,12.437696085745769
1219,5,3,1980,117989.35682972187,True,False,False,44,6095,11.678358178326377
2589,4,1,1964,313948.4453118486,False,False,True,60,10356,12.65698724973658
1854,2,1,1950,254919.27518581905,True,False,False,74,3708,12.44870612892639
2759,4,2,2021,197521.82717092487,False,False,True,3,11036,12.193609437256667
2248,3,2,1955,198494.040257516,False,True,False,69,6744,12.198519392688992
1384,3,3,1976,152204.7558913935,False,True,False,48,4152,11.932988541640723
2426,5,2,1975,308529.3077393932,False,True,False,49,12130,12.639575359769202
2661,4,2,2015,308854.90099919715,False,True,False,9,10644,12.640630107301233
2153,5,1,1962,246860.55002366885,True,False,False,62,10765,12.416582932236599
2076,2,3,2020,225867.2386279585,False,False,True,4,4152,12.3277070933146
2707,2,2,1983,249678.22890096117,False,False,True,41,5414,12.42793228859065
1729,2,2,1982,108636.47522678511,False,False,True,42,3458,11.595771702710113
2695,4,1,1989,299818.56075223465,False,True,False,35,10780,12.610936108526992
2733,5,1,1992,290094.597001723,True,False,False,32,13665,12.577965792475263
2439,5,1,1956,272077.872708492,False,True,False,68,12195,12.51384727643702
1246,2,3,1988,130941.48294297824,False,False,True,36,2492,11.78251344426358
1835,5,1,2015,241849.2414576917,True,False,False,9,9175,12.396073976628516
2462,3,3,1985,206273.30005677108,True,False,False,39,7386,12.23696211571395
1202,3,1,2013,155086.4598591631,False,True,False,11,3606,11.951744493924064
2207,3,2,1953,169742.87033019328,True,False,False,71,6621,12.042045934784827
1122,3,3,1971,148324.403196361,True,False,False,53,3366,11.907163809453579
1400,5,1,2020,184460.04344561708,True,False,False,4,7000,12.125193573531908
1766,3,1,1953,138095.4799175649,False,True,False,71,5298,11.835707849699352
1293,3,2,2013,205414.9104558009,False,True,False,11,3879,12.23279203431308
1279,3,2,1971,183265.3989623526,True,False,False,53,3837,12.11869610530758
2860,3,2,2011,284616.467279546,False,True,False,13,8580,12.558901337594818
1883,3,1,1989,181947.6428840441,True,False,False,35,5649,12.111479744282311
2633,4,2,1969,284003.76941338705,False,False,True,55,10532,12.55674631071144
1197,4,2,1958,90959.78932620135,False,False,True,66,4788,11.418183806115453
1981,3,3,2014,198755.14636608923,True,False,False,10,5943,12.199833957150805
2930,3,3,1972,370459.8290291032,False,False,True,52,8790,12.822502993511232
2534,5,3,1984,348379.2664670972,False,False,True,40,12670,12.761049881906002
1751,3,1,2008,270704.1541412828,False,False,True,16,5253,12.508785515470201
1143,2,3,1963,168931.8286047524,True,False,False,61,2286,12.037256451018303
1608,4,1,1993,189126.05140688832,False,True,False,31,6432,12.150174297862701
2224,3,2,1971,218168.70814067312,True,False,False,53,6672,12.293028516624132
2147,4,1,1977,199220.1955072361,True,False,False,47,8588,12.202171021620996
1186,3,1,2008,129960.0168172268,False,True,False,16,3558,11.774989813830812
2349,2,2,1996,281507.7449630544,True,False,False,28,4698,12.547918791667472
1463,3,3,2017,169378.78481722157,True,False,False,7,4389,12.039898720060458
2372,4,3,2019,248599.1076612193,True,False,False,5,9488,12.423600891128723
2794,4,3,1966,411678.0284271322,False,False,True,58,11176,12.927999267493188
1659,4,2,1980,119032.8829834174,True,False,False,44,6636,11.687163462518589
1763,5,1,1963,230075.0498156624,True,False,False,61,8815,12.34616518462466
1954,4,2,1998,122604.95616584706,False,True,False,26,7816,11.716730883407333
2955,3,2,2016,296998.838109315,False,False,True,8,8865,12.601486872698207
1402,2,2,1970,109470.14273140584,False,False,True,54,2804,11.603416256807304
2369,2,2,1962,246212.1973150715,True,False,False,62,4738,12.413953095337565
2986,3,1,1999,310583.0758590737,False,False,True,25,8958,12.646209919416146
2534,5,3,2017,233756.8863821809,False,False,True,7,12670,12.362041185115196
1146,3,3,1961,100102.22524595106,False,True,False,63,3438,11.513957185023523
2171,4,2,1997,199324.84069986545,False,True,False,27,8684,12.202696155095982
1863,5,1,2013,331026.59636098804,False,False,True,11,9315,12.709957023575697
2734,3,2,1964,231041.34837459872,False,True,False,60,8202,12.350356298998683
2843,5,1,1965,333530.0633743215,True,False,False,59,14215,12.717491283551412
1488,2,2,2021,61092.661234490224,False,True,False,3,2976,11.02016339566153
1928,3,3,1999,205778.3124412656,True,False,False,25,5784,12.234559574692154
2959,3,3,1990,384570.7364514372,False,True,False,34,8877,12.859885621270639
2663,2,2,1953,339772.9527372086,False,False,True,71,5326,12.73603583059441
1550,5,3,1969,186745.12964093967,True,False,False,55,7750,12.137505377966056
1337,2,2,1957,185559.0801900139,False,True,False,67,2674,12.131133991016988
1871,5,1,2017,213894.31463154923,False,True,False,7,9355,12.273241990349755
1640,3,1,1996,180978.0156828019,True,False,False,28,4920,12.106136368072795
2802,5,1,1982,243011.57473076603,False,True,False,42,14010,12.400868468847046
2976,5,1,1954,265075.948204332,False,False,True,70,14880,12.487775433401366
1472,4,2,2017,163315.12699992972,True,False,False,7,5888,12.003443030971146
2969,4,3,1990,384847.049904619,False,False,True,34,11876,12.860603859792601
1150,4,1,2010,190479.19894101736,True,False,False,14,4600,12.157303525579652
2438,2,3,1973,204129.2143255608,True,False,False,51,4876,12.22651337471349
2321,2,2,1976,249930.1176296619,True,False,False,48,4642,12.42894062939781
2634,4,3,1978,372750.474809396,True,False,False,46,10536,12.8286671891836
1262,3,3,2016,189650.20106156013,False,False,True,8,3786,12.152941880139755
2787,3,3,1986,308299.31208062085,False,False,True,38,8361,12.638829626136529
1143,3,2,2002,95784.07401708022,True,False,False,22,3429,11.469862148240775
1345,2,2,1951,165456.11841318812,True,False,False,73,2690,12.016467336982634
1623,5,2,1986,236531.66553606672,False,False,True,38,8115,12.373841598036247
2016,2,3,2021,212190.754931357,True,False,False,3,4032,12.265245649229744
2595,4,1,2014,298280.3606844734,True,False,False,10,10380,12.60579248341638
1880,5,1,1997,172765.2509259063,False,False,True,27,9400,12.059694809135422
1001,3,3,1998,151917.35363762768,False,False,True,26,3003,11.931098508392347
1896,2,1,1996,196497.06930440952,False,False,True,28,3792,12.18840788482033
2327,2,1,1953,212603.1701695292,False,True,False,71,4654,12.267187359794173
1253,4,3,1952,205827.91372135773,True,False,False,72,5012,12.234800586786566
2675,3,2,1985,350608.1323068653,False,False,True,39,8025,12.767427298782248
